Text,Text1,Text2,Text3
"$1,170",/ 1br - 607ft2 - ,1st Floor 1 Bed? Yes Please!,"
        
            QR Code Link to This Post
            
        
Welcome home, you have arrived! We are proud to introduce Tiburon Ridge. This gorgeous BRAND-NEW property located right off of 180th and 370, provides an upscale living experience unlike any other in the area. 
 
Exquisite designs, paired with an ideal location, make our community a top choice for Southwest Omaha and Gretna. Offering one-, two-, or three-bedroom apartment homes, we are sure that you'll find the perfect floor plan for your needs. Offering a rural escape while being minutes from dining, shopping, and entertainment. Tiburon Ridge is located in the Gretna School District with direct access to Highway 370 and I-80, creating a convenient corridor ranging from both downtown Omaha to Lincoln, ensuring you will be at the center of it all. Enjoy a day at Mahoney State Park and dinner in Dundee or a morning of hitting the rinks followed by an afternoon Cornhusker Football game; the possibilities are endless. 
 
Varied floor plan layouts offer unique options including balconies, patios, vaulted ceilings, walk-in closets, and flex workspace. Well-appointed community space and outdoor amenity options provide a living experience that will not disappoint. Amenities will include a clubhouse, leasing office, outdoor pool, fire pit, fitness center, dog parks, secure package locker system, and storm shelter! 
 
From custom home-like finishes featuring two unique kitchen aesthetics ranging from white to dark scale and wood-inspired flooring, you will be proud to entertain or enjoy a serene sunset on your private balcony. Our apartments have it all! Come live where peacefulness meets convenience and where living meets extraordinary. Tiburon Ridge provides more than an apartment; it is a lifestyle experience. Explore our photo gallery and see for yourself why we're the best fit for you and your lifestyle. To get the full experience, please schedule a visit to our property! 
 
Please call us TODAY and set up a tour of your new home at Tiburon Ridge! 
 
*Prices, specials and availability subject to change at any time* 
 
https://www.tiburonridge.com/ 
 
Equal Opportunity Housing 
Professionally managed by Lund Company
    "
"$1,350",/ 1br - ,Beautiful One   Bedroom Apts @10737 S Keating,"
        
            QR Code Link to This Post
            
        
HEAT AND HOT WATER ARE FREE 10737 S. Keating Ave. is situated on a quiet street in the town of Oak Lawn. This property features large one and two bedroom apartments, some offering 1.5 baths. Located only one block from the busy commercial corridor along Cicero Ave., 10737 S. Keating Ave. is within easy walking distance of almost anything you could want. Access to public transportation is convenient or if you prefer, use the building's FREE off-street parking lot. Building amenities include an elevator, laundry room, intercom entry system, and additional storage areas. Finally, heat and hot water are included in your rent!! Give 10737 S. Keating a look! You will be glad you did.


Newly redone... New flooring, and Updated Kitchen with Stainless Steel Appliances !!!!


*AVAILABLE APARTMENTS **
One Bedroom Units.... Available Now..........................................Rent Starting at $1,350.00/Monthly



***Photos shown may not be of actual unit....This is an Amazing Unit....Don't miss out! ***

To view the unit, please call To view the unit call Ishmel at 312 614 1336 or the office 773 989 8000


 RENTAL FEATURES 

 - Air conditioning
 - Central heat
 - Walk-in closet
 - Living room
 - Refrigerator
 - Stove/Oven
 - Cable-ready

 COMMUNITY FEATURES

 - Laundry on-site
 - Storage space(s)
 - Controlled Access
 - Elevator
 - Vintage building

 LEASE TERMS

 *12 Month Lease
 ** No Security Deposit Required
 ***$400.00 Move In fee
 ****$75.00 Credit/Criminal Check (per person over 18, including co-signer)
 *****No DOGS allowed



 Managed By:
 Realty & Mortgage Co.
 1509 W. Berwyn Ave., #200
 Chicago, IL 60640
 P: 773-989-8000
 F: 773-989-6979

 Equal Opportunity Housing
    "
"$1,050",/ 3br - ,Rent this beautiful 3 bed home!,"
        
            QR Code Link to This Post
            
        
Five Seasons – Davenport’s Top Manufactured Home Community

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
"$2,245",/ 1br - 800ft2 - ,1 Bedroom Apartment in River North Luxury Building,"
        
            QR Code Link to This Post
            
        
Call Property Rocks at 773-837-2011 and refer to post id: 
Enjoy downtown luxury apartment living in River North. This apartment is extremely spacious and close to everything Chicago has to offer. Great amenities, excellent location and one of the best utility packages in the city combine to make this a highly sought after address.

Apartment Features: Balcony, Premium Finishes, Floor to Ceiling Windows, Granite Counters, Stainless Appliances, Washer/Dryer In Unit, Wood Floor Options 

Community Features: 24-Hour Business Center, Basketball Court, Outdoor Running Track, Cabanas, Dog Park, Outdoor Pool with Sundeck, Outdoor Kitchen / Dining Area, Steam Room / Sauna, Library, Club 9 Media Room, Atrium Lounge, Party Room, Exclusive Events & Local Deals, 24-Hour Door Staff, On-Call Maintenance Team, Retail Shopping, Indoor Parking, On-Site Dry Cleaning, Bike Room, Storage Units, Red Line - Grand Stop

PR0PERTY R0CKS

***For faster response please call or text Joe at 773-837-2011
and include post id:
    "
"$1,269",/ 2br - 1152ft2 - ,Call Pacific Gardens Home for the holidays!,"
        
            QR Code Link to This Post
            
        
2 Bedroom 2 Bath! Ready Now!

This 2 bedroom 2 bathroom apartment is ready for move in!
This apartments comes with in unit laundry, a balcony, and tons of space; 1,152 sq ft! 

Contact us to schedule a  tour :)

$75 Application Fee & $450 security deposit.

Pricing varies daily. Pricing varies by lease term and move in date.

Here’s what we’ll need to see to get your application approved: Credit History (6 months of positive payment history, no large past due debts) or Rental History (6 months of good residency including Dorms) Background Check (see application for details) Income Qualification (Full time student-parental guarantee or at least 3 X the rent amount before taxes each month).

We do not accept section 8. 

Contact Pacific Gardens for more info!
    "
"$2,600",/ 2br - 1400ft2 - ,Lincoln Park 2 Bed/2Bath for rent,"
        
            QR Code Link to This Post
            
        
LINCOLN PARK TOP FLOOR UNIT WITH DARK CHOCOLATE CABINETS, STAINLESS STEEL APPLIANCES W/ LARGE GRANITE ISLAND. A LARGE MASTER SUITE WITH WALK IN CLOSET, SPACIOUS MASTER BATH W/WHIRLPOOL TUB AND SEPARATE SHOWER AND DOUBLE VANITIES. BRAZILIAN CHERRY FLOORS, LARGE REAR DECK, PRE-WIRED FOR SOUND. INCLUDES 1 ASSIGNED OUTDOOR PARKING SPACE. VERY SUNNY EAST/WEST EXPOSURES NEAR WRIGHTWOOD PARK, PUBLIC TRANS, EXPWY, ETC.

    "
$695,/ 1br - 1000ft2 - ,Kingston Court 1 bedroom,"
        
            QR Code Link to This Post
            
        
Kingston Court, 1712North 73rd Street

Small & Quiet community

UNIT AVAILABLE JANUARY 1ST!

1 bed/1 bath starting at $695 a month/$350 deposit
$50 application fee

Unit comes with stove, fridge & blinds

Off street parking & laundry on-site
 
Building is quiet and has a long term on-site manager

Near UNO! 

NO PETS in this unit 

Call or text  Sharon at  show contact info
 for more information and to schedule a showing! 

Ask about our rent special! 

Visit our new website for photos and to download an application: www.philmoore.co

    "
$571,/ 1br - 640ft2 - ,"Bark Park, New/Renovated Interior, Easy Access to Interstates","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Basketball Courts
-Dishwasher
-Bike Storage
-Window Coverings
-Easy Access to Interstates
-Conference Room
-Central Air Conditioning
-BBQ & Picnic Area
-Bark Park
-Tennis Courts
-Cable Ready
-Fitness Center

Call:  show contact info


For more information, visit us at: https://livewithm2.com/753d36tb/woodcrest-apartments

Pricing and availability are subject to change.
    "
"$1,180",/ 2br - 727ft2 - ,2 Bedroom with a downtown city view! 1st month free,"
        
            QR Code Link to This Post
            
        
The Parker @ Seventh offers top-notch accommodations in both the individual apartments and the common area amenities. Our spacious ARTISAN club room features a gas fireplace, a grand piano, Wifi internet access, and entertaining facilities, creating a cozy and inviting environment for all of our residents. With more amenities including our study lounge, fitness center, and 6,000 square foot terrace, The Parker @ Seventh is truly a top choice for downtown Des Moines apartments.
First month is free *RESTICTIONS APPLY	
Ready to find your new home? Apply online today!www.theparkeratseventh.com
    "
"$1,050",/ 3br - ,get into your new home today!,"
        
            QR Code Link to This Post
            
        
Five Seasons – Davenport’s Top Manufactured Home Community

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
