Text,Text1,Text2,Text3
"$2,636",/ 2br - 1390ft2 - ,1st Month FREE! 2 Bedroom Loft in CWE Available Now,"
        
            QR Code Link to This Post
            
        
Lofts at Euclid

Loft 604 (Taylor Style)
•	6th (Top!) Floor Loft
•	1,390 Square Feet
•	BALCONY
•	Exposed Brick
•	Open Study
•	Gallery Hallway
•	In-Unit Washer/Dryer     
•	In-Unit Lofted Storage Space 
•	Faces West
•	Available Now
•	$2,636.00/Month – Rental Rate includes water and sewer
•	Cable and Internet is only $65.00/month!
•	Trash is $8.00/month
•	There is no gas in the loft, you just set up your own electricity
•	Garage Parking (Single) - $100.00/month / Outdoor Parking - $50.00 per month


LOFT FEATURES
•	French Door Refrigerators with Bottom-Mount Freezers and Ice Makers
•	12’9” Ceilings and Large Windows with Custom Shades
•	Granite Countertops
•	Hardwood Floors
•	Ceramic Tile Bathrooms with 4’x4’ Showers and/or Soaking Tubs
•	Soft-Close Drawers in Kitchens and Bathrooms
•	Heaters in Bathroom Ceilings
•	Shower Bench and Dual Showerheads in Select Showers
•	Ceiling Fans in all Living Rooms and Bedrooms
 
AMENITIES
•	24- Hour Fitness Center with Steam Room
•	Pet friendly with Pet Spa
•	Secured Bike Storage
•	Smart Locks & Thermostats
•	Package Mgmt System
•	Rooftop Oasis featuring the Sky Lawn
•	Rooftop Hot Tub, Grills & Fire Table
•	Rooftop Wet Bar, Rec Room & Work Space
•	Community Happy Hours
•	Sky Suite / Guest Loft
•	Valet Dry-Cleaning
•	Within Walking Distance to the CWE’s Best Restaurants, Shops & Nightlife!
    "
"$2,795",/ 4br - 1976ft2 - ,"4 Bedroom House, 1013 Summer Tree Dr - St. Louis County, MO, 63011","See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/00c507e02e

No, it's not a hyperlink. :-( You still have to copy-and-paste this link into the address bar on your web browser.


4 Bedroom House
1013 Summer Tree Dr, Ballwin, MO, 63011

$2795 per month
Available now
4 beds, 2 full and 1 half baths
1976 sq. ft.

RENTER'S INSURANCE REQUIRED

LOWER YOUR MOVE IN COST WITH OUR NO DEPOSIT OPTION THROUGH JETTY - See Helpful Resources Below For More Information!

Gorgeous home in the Parkway school district is located off HWY 141 near Manchester! This house spans nearly 2,000 sq. ft. of living space and has 4 bedrooms and 2.5 bathrooms. The main level has a spacious living room, family room, formal dining room, half bath, and an incredible kitchen. The upstairs contains a master bedroom complete with a master suite, three traditional bedrooms, and a full bath in the hall. The basement is complete with a recreation room and laundry room stocked with a new electric washer/dryer (not to be repaired or replaced by the owner.) The large deck gives you plenty of room to enjoy the quiet backyard.

Bedrooms: 4
Bathrooms: 2.5
Rooms: 9
SQ. FT.: 1976
Flooring: Carpet, Hardwood, Tile, Vinyl
Utilities: Electricity, Gas, Water, Trash, Sewer, Lawncare, Snow Removal
Basement: Finished
Pets: Allowed - See Pet Policy (link below under Helpful Resources)
School District: Parkway
Section 8: Not Accepted
Security Deposit: $2795
Application Fee: $60 per in-person adult application/$50 if applying online

DISCLOSURES:
This property may require a municipal inspection which may affect when it is available for move-in.

There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approved

HELPFUL RESOURCES (copy and paste links into browser):

Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/
Application Process: https://www.decarealty.com/application-process/
Apply: https://fs17.formsite.com/residentresearch/decarealty/index.html
Pet Policy: https://www.decarealty.com/pet-policy/
Prospective FAQs: https://www.decarealty.com/tenant-faqs/
Jetty: https://www.jetty.com/move
Case Net MO: https://www.courts.mo.gov/cnet/welcome.do

Carpet Flooring
Gas Forced Heat
Hardwood Floooring
Pets Allowed
Quartz Countertops
Renter's Insurance Required
Stove Gas
Tile Flooring
Vinyl Flooring
Washer/Dryer Included Not Repaired Or Replaced

Rooms and Interior
. Partially finished basement
. Hardwood floors
. Carpet floors
. Decorative fireplace
. Family room
. Living room
. Formal dining room
. Walk-in closet
. Ceiling fans
. Master bath

Kitchen and Bath
. Gas stove/oven
. Tile floors
. Quartz kitchen counters
. Eat-in kitchen
. Stainless steel appliances
. Dishwasher
. Refrigerator
. Microwave
. Garbage disposal
. Pantry
. Modern bath fixtures

Utilities and Extras
. Gas furnace
. Central air conditioning
. Attached garage
. Laundry in unit

Building and Surroundings
. Deck
. Yard

Lease Terms
. Tenant pays all utilities
. One year lease
. No smoking
. No section 8
. Dogs ok
. Cats ok
. Tenant pays trash removal
. Tenant pays water
. Snow removal not included
. Lawn care not included

Contact Us:
Deca Property Management
Michelle Stalzer
show contact info


See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/00c507e02e




"
"$2,779",/ 4br - 1938ft2 - ,"Fullyequipped fitness center, Luxurious Laminate Flooring","
        
            QR Code Link to This Post
            
        
Bedrooms: 4Bathrooms: 2Square Feet: 1938Date Available: 2022-12-02Address: 1104 Spring Path LaneHand-selected by our interior designer, 1104 Residences offers quartz countertops, tiled backsplashes, and luxury laminate flooring, all in plans ranging from 1800-2250 square feet. Make 1104 Residences your own with multiple floorplans to choose from. 1104 Residences is adjacent to the Century Farms development in South Nashville, an ever-growing community of shopping, dining, and employers. Private patios, 2-car garages, a walking trail around the lake and a sparkling swimming pool with clubhouse are just a few of the perks of living at 1104 Residences. Click the link below to view our full amenity offering and the incredible features included inside your new home in Antioch, TN. Amenities Include:9’ ceilings on first story 8’ ceilings on second story3cm Quartz countertops in kitchen and bathroomsLuxurious Laminate FlooringFullyequipped fitness centerWalking trail around a neighborhood pond with connection to existing trailPool with covered outdoor seatingDelta plumbing fixtures and Progress lighting packagesLandscaping provided for each home and common spacesTiled kitchen backsplashesWhirlpool, stainless steel appliance package including electric range, premium refrigerator, undercounter fridge, and dishwasherShaker style cabinets with 36” uppers in kitchensSidewalks throughout the entire communityCall:  show contact info
For more information, visit us at: https://elmingtonliving.com/ygqx3gsx/1104-residences*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!
    "
"$3,200",/ 4br - 2257ft2 - ,"4 Bedroom House, 445 Foxbrook Dr - Creve Coeur, MO, 63141","See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/ show contact info

No, it's not a hyperlink. :-( You still have to copy-and-paste this link into the address bar on your web browser.


4 Bedroom House
445 Foxbrook Dr, Creve Coeur, MO, 63141

$3200 per month
Available now
4 beds, 4 full baths
2257 sq. ft.

This 4-bedroom home in Creve Coeur is both elegant and spacious! The home features hardwood floors, stainless steel appliances, a finished basement, and a 2-car garage. The basement has a washer and dryer (Not Repaired or Replaced) as well as an office and 1/2 bath downstairs. The large backyard provides ample space for activities, and the home also includes a central vacuuming system!

Bedrooms: 2
Bathrooms: 2 Full 2 Half
Rooms: 8
SQ. FT.: 2257
Flooring: Carpet, Hardwood
Utilities: Electricity, Gas, Water, Trash, Sewer, Lawncare, Snow Removal
Basement: Partially Finished
Pets: Not Allowed
School District: Ladue
Section 8: Not Accepted
Security Deposit: $3200
Application Fee: $60 per in-person adult application/$50 if applying online

DISCLOSURES:
This property may require a municipal inspection which may affect when it is available for move-in.

There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approved

HELPFUL RESOURCES (copy and paste links into browser):

Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/
Application Process: https://www.decarealty.com/application-process/
Apply: https://fs17.formsite.com/residentresearch/decarealty/index.html
Prospective FAQs: https://www.decarealty.com/tenant-faqs/
Jetty: https://www.jetty.com/move
Case Net MO: https://www.courts.mo.gov/cnet/welcome.do

Carpet Flooring
Gas Forced Heat
Hardwood Floooring
Natural Stone Countertops
No Pets Allowed
Stove Gas
Tile Flooring
Washer/Dryer In Unit

Rooms and Interior
. Partially finished basement
. Hardwood floors
. Carpet floors
. Fireplace
. Family room
. Living room
. Dining room
. Office
. Walk-in closet
. Ceiling fans
. Voice intercom
. Master bath

Kitchen and Bath
. Stove/oven
. Tile floors
. Hardwood cabinets
. Stainless steel appliances
. Dishwasher
. Refrigerator
. Microwave
. Garbage disposal
. Whirlpool tub
. Modern bath fixtures

Utilities and Extras
. Gas furnace
. Central air conditioning
. Attached garage
. Laundry in unit

Building and Surroundings
. Patio
. Yard

Lease Terms
. No pets
. Tenant pays all utilities
. One year lease
. No smoking
. No section 8
. Tenant pays trash removal
. Tenant pays water
. Snow removal not included
. Lawn care not included

Contact Us:
Deca Property Management
Michelle Stalzer
show contact info


See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/ show contact info




"
"$3,100",/ 4br - 2964ft2 - ,"4 Bedroom House, 508 Mason Creek Dr - Lake Saint Louis, MO 63367","
        
            QR Code Link to This Post
            
        
See better photos and SCHEDULE A SHOWING at:http://schedule-a-tour.com/lc/82c676e03dNo, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.4 Bedroom House508 Mason Creek Dr, Lake Saint Louis, MO, 63367$3100 per monthAvailable now4 beds, 2 full and 1 half baths2964 sq. ft.RENTER'S INSURANCE REQUIREDLOWER YOUR MOVE IN COST WITH OUR NO DEPOSIT OPTION THROUGH JETTY - See Helpful Resources Below For More Information!Amazing four bedroom, two and a half bath home located in Wentzville school district! There is a gorgeous blend of hardwood, carpet and vinyl flooring throughout. The house features a living room, eat in kitchen, family room, dining room, laundry room and half bath on the main level. The kitchen comes fully stocked with a refrigerator, microwave, electric oven and dishwasher. The upstairs offers a master bedroom with a master bath, three full bedrooms and a full bath. The backyard has a private patio and is spacious. Schedule your showing today!Bedrooms: 4Bathrooms: 2.5Rooms: 8SQ. FT.: 2964 Flooring: Carpet, Hardwood & VinylUtilities: Gas, Electric, Water, Sewer, Trash, Lawn Care & Snow RemovalBasement: Unfinished Pets: Allowed - See Pet Policy (link below under Helpful Resources)School District: WentzvilleSection 8: Not AcceptedSecurity Deposit: $3100Application Fee: $60 per in-person adult application/$50 if applying onlineDISCLOSURES:This property may require a municipal inspection which may affect when it is available for move-in.There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approvedHELPFUL RESOURCES (copy and paste links into browser):Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/Application Process: https://www.decarealty.com/application-process/Apply: https://fs17.formsite.com/residentresearch/decarealty/index.htmlPet Policy: https://www.decarealty.com/pet-policy/Prospective FAQs: https://www.decarealty.com/tenant-faqs/Jetty: https://www.jetty.com/moveCase Net MO: https://www.courts.mo.gov/cnet/welcome.doFair Market Rent Documentation System: https://www.huduser.gov/portal/datasets/fmr/fmrs/FY2023_code/2023summary.odn?cbsasub=METRO41180M41180&year=2023&fmrtype=FinalCarpet FlooringGas Forced HeatHardwood FloooringLaminate CountertopsPets AllowedRenter's Insurance RequiredSeparate Tub & ShowerStove   ElectricVinyl FlooringWasher/Dryer In Unit   Not Repaired Or ReplacedContact Us:Deca Property ManagementMichelle Stalzer show contact info
See better photos and SCHEDULE A SHOWING at:http://schedule-a-tour.com/lc/82c676e03d
    "
"$2,784",/ 4br - 1994ft2 - ,"Fullyequipped fitness center, Luxurious Laminate Flooring","
        
            QR Code Link to This Post
            
        
Bedrooms: 4Bathrooms: 3Square Feet: 1994Date Available: 2022-11-30Address: 1104 Spring Path LaneHand-selected by our interior designer, 1104 Residences offers quartz countertops, tiled backsplashes, and luxury laminate flooring, all in plans ranging from 1800-2250 square feet. Make 1104 Residences your own with multiple floorplans to choose from. 1104 Residences is adjacent to the Century Farms development in South Nashville, an ever-growing community of shopping, dining, and employers. Private patios, 2-car garages, a walking trail around the lake and a sparkling swimming pool with clubhouse are just a few of the perks of living at 1104 Residences. Click the link below to view our full amenity offering and the incredible features included inside your new home in Antioch, TN. Amenities Include:Walking trail around a neighborhood pond with connection to existing trail3cm Quartz countertops in kitchen and bathroomsCommunity clubhouse with a leasing office, meeting room, and sitting areaTiled kitchen backsplashesInunit washer and dryerLandscaping provided for each home and common spacesPool with covered outdoor seatingShaker style cabinets with 36” uppers in kitchensFullyequipped fitness centerDelta plumbing fixtures and Progress lighting packagesLuxurious Laminate FlooringWhirlpool, stainless steel appliance package including electric range, premium refrigerator, undercounter fridge, and dishwasherCall:  show contact info
For more information, visit us at: https://elmingtonliving.com/ec6getoi/1104-residences*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!
    "
"$5,950",/ 4br - 3556ft2 - ,Magnificent tri-level home with amazing views of Nashville!,"
        
            QR Code Link to This Post
            
        
Fantastic 4 bedroom 4 bathroom home within walking distance of 12th Ave. South!
This property has amazing views of Nashville, a kitchen living room combination with floor to ceiling windows and an exterior deck overlooking the magical Nashville skyline, beautiful hardwood flooring, a large kitchen island, great size bedrooms, upscale appliances, huge bonus room that can easily be turned into office space or a theatre room, this property has it all and too many upgrades to mention! Take a look today and feel right at home in this amazing property! Please call Browning-Gordon Co. at  show contact info
 for more information.

Copy this link to your browser to schedule a showing at your convenience between the hours of 7 am - 8 pm
https://secure.rently.com/properties/4087395?source=marketing

PLEASE DO NOT VIEW THIS PROPERTY IF YOUR ARE SICK. ENTER AT YOUR OWN RISK. NEITHER THE PROPERTY NOR THE LOCKBOX IS SANITIZED BETWEEN SHOWINGS.
    "
"$2,784",/ 4br - 1994ft2 - ,"Luxurious Laminate Flooring, Fullyequipped fitness center","
        
            QR Code Link to This Post
            
        
Bedrooms: 4Bathrooms: 3Square Feet: 1994Date Available: 2022-11-30Address: 1104 Spring Path LaneHand-selected by our interior designer, 1104 Residences offers quartz countertops, tiled backsplashes, and luxury laminate flooring, all in plans ranging from 1800-2250 square feet. Make 1104 Residences your own with multiple floorplans to choose from. 1104 Residences is adjacent to the Century Farms development in South Nashville, an ever-growing community of shopping, dining, and employers. Private patios, 2-car garages, a walking trail around the lake and a sparkling swimming pool with clubhouse are just a few of the perks of living at 1104 Residences. Click the link below to view our full amenity offering and the incredible features included inside your new home in Antioch, TN. Amenities Include:Sidewalks throughout the entire communityWalking trail around a neighborhood pond with connection to existing trailFullyequipped fitness centerCommunity clubhouse with a leasing office, meeting room, and sitting area9’ ceilings on first story 8’ ceilings on second storyTiled kitchen backsplashes3cm Quartz countertops in kitchen and bathroomsDelta plumbing fixtures and Progress lighting packagesLuxurious Laminate FlooringShaker style cabinets with 36” uppers in kitchensLandscaping provided for each home and common spacesAttached twocar garagesCall:  show contact info
For more information, visit us at: https://elmingtonliving.com/tl7o6p2l/1104-residences*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!
    "
"$2,577",/ 3br - 1816ft2 - ,"Tiled kitchen backsplashes, Inunit washer and dryer","
        
            QR Code Link to This Post
            
        
Bedrooms: 3Bathrooms: 2Square Feet: 1816Date Available: 2022-12-15Address: 1104 Spring Path LaneHand-selected by our interior designer, 1104 Residences offers quartz countertops, tiled backsplashes, and luxury laminate flooring, all in plans ranging from 1800-2250 square feet. Make 1104 Residences your own with multiple floorplans to choose from. 1104 Residences is adjacent to the Century Farms development in South Nashville, an ever-growing community of shopping, dining, and employers. Private patios, 2-car garages, a walking trail around the lake and a sparkling swimming pool with clubhouse are just a few of the perks of living at 1104 Residences. Click the link below to view our full amenity offering and the incredible features included inside your new home in Antioch, TN. Amenities Include:Shaker style cabinets with 36” uppers in kitchens3cm Quartz countertops in kitchen and bathroomsInunit washer and dryerPool with covered outdoor seatingTiled kitchen backsplashes9’ ceilings on first story 8’ ceilings on second storyFullyequipped fitness centerLandscaping provided for each home and common spacesAttached twocar garagesSidewalks throughout the entire communityDelta plumbing fixtures and Progress lighting packagesLuxurious Laminate FlooringCall:  show contact info
For more information, visit us at: https://elmingtonliving.com/fbbhrwg6/1104-residences*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!
    "
"$2,595",/ 4br - 2200ft2 - ,"4 Bedroom House, 4601 Richmond Forest Dr - St. Louis, MO 63034","See better photos and SCHEDULE A SHOWING at:

http://schedule-a-tour.com/lc/92c856f036

No, it's not a hyperlink. :-( You still have to copy-and-paste this link into the address bar on your web browser.


4 Bedroom House
4601 Richmond Forest Dr, Florissant, MO, 63034

$2595 per month
Available now
4 beds, 3 full baths
2200 sq. ft.

RENTER'S INSURANCE REQUIRED

LOWER YOUR MOVE IN COST WITH OUR NO DEPOSIT OPTION THROUGH JETTY - See Helpful Resources Below For More Information!

Gorgeous 4 bedroom, two and a half bath home located in Hazelwood school district! There is a amazing blend of carpet, tile and vinyl flooring throughout. The main level contains a living room, separate dining room, eat in kitchen, and a half bath. The kitchen comes fully stocked with a refrigerator, electric oven, microwave and dishwasher. The upper level contains three full bedrooms, a master bedroom complete with master bath, and a laundry room. The finished basement provides plenty of additional space including surround sound and a full bath. The fenced backyard has a private patio and is spacious. Schedule your showing today!

Bedrooms: 4
Bathrooms: 2.5
Rooms: 8
SQ. FT.: 2,200
Flooring: Carpet, Tile and Vinyl
Utilities: Gas, Electric, Water, Sewer, Trash, Lawn Care and Snow Removal
Basement: Finished - electric washer/dryer hookups
Pets: Allowed - See Pet Policy (link below under Helpful Resources)
School District: Hazelwood
Section 8: Not Accepted
Security Deposit: $2,595
Application Fee: $60 per in-person adult application/$50 if applying online

DISCLOSURES:
This property may require a municipal inspection which may affect when it is available for move-in.

There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approved

HELPFUL RESOURCES (copy and paste links into browser):

Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/
Application Process: https://www.decarealty.com/application-process/
Apply: https://fs17.formsite.com/residentresearch/decarealty/index.html
Pet Policy: https://www.decarealty.com/pet-policy/
Prospective FAQs: https://www.decarealty.com/tenant-faqs/
Jetty: https://www.jetty.com/move
Case Net MO: https://www.courts.mo.gov/cnet/welcome.do
Fair Market Rent Documentation System: https://www.huduser.gov/portal/datasets/fmr/fmrs/FY2023_code/2023summary.odn?cbsasub=METRO41180M41180&year=2023&fmrtype=Final


Carpet Flooring
Gas Forced Heat
Natural Stone Countertops
Stove Electric
Tile Flooring
Vinyl Flooring
Washer/Dryer Hook Ups

Rooms and Interior
. Finished basement
. Carpet floors
. Family room
. Living room
. Ceiling fans
. Master bath

Kitchen and Bath
. Electric stove/oven
. Tile floors
. Stainless steel appliances
. Dishwasher
. Refrigerator
. Microwave

Utilities and Extras
. Gas furnace
. Central air conditioning
. Attached garage
. Laundry hookups in basement

Building and Surroundings
. Patio
. Fenced yard

Lease Terms
. Tenant pays all utilities
. One year lease
. No smoking
. No section 8
. Dogs ok
. Cats ok
. Tenant pays trash removal
. Tenant pays water
. Snow removal not included
. Lawn care not included

Contact Us:
Deca Property Management
Michelle Stalzer
show contact info


See better photos and SCHEDULE A SHOWING at:

http://schedule-a-tour.com/lc/92c856f036




"
