Text,Text1,Text2,Text3
"$1,350",/ 2br - 858ft2 - ,"Private Patio / Balcony, BBQ Area, Business Center","
        
            QR Code Link to This Post
            
        
YES, WE ARE OPEN! CALL NOW TO SCHEDULE AN IN-PERSON TOUR! OR LET US SHOW YOU THROUGH FACETIME!Surrounded by sprawling green lawns and mature trees, Independence Green Apartments is your destination for inspired living. Our one-, two-, and three-bedroom apartment homes offer well-appointed interiors complete with a convenient in-home washer and dryer and ample storage space.  Our wooded community provides gorgeous views and the perfect backdrop for a quiet glass of wine on your own private patio. If you prefer to work out before you relax, check out our heated indoor pool in the winter, or our sparkling outdoor pool and sand volleyball court in the summer.    Independence Green Apartments has everything you need to unwind, get fit, and live well. Come see why life is better at Independence Green Apartments. Amenities Include:Disc Golf CourseOver-sized Sliding Door to PatioBeautiful Views of the CommunitySand Volleyball CourtClubhouse/Fitness CenterDog ParkNew Cabinetry In Renovated UnitsStainless Steel AppliancesSaunaOutdoor Swimming PoolWalk-in ClosetsPrivate Patio / BalconyCall:  show contact info
For more information, visit us at: https://livewithjrk.com/2g6kcam6/IndependenceGreen
    "
"$1,100",/ 2br - ,2 bedroom,"
        
            QR Code Link to This Post
            
        
Totally remodeled, updated with some charm, carpet, linoleum, sinks, cabinets, tub/shower, & lighting. 2 bedroom 1 bath on lower level. Separate entrances. Elec. heating, water, gas & garbage, all included. No smoking inside unit, no pets. Pictures coming soon. $1,100.00 rent plus deposit of $1,650.00. CALLS ONLY no text. Call Will or Debbie @  show contact info
.
    "
$980,/ 2br - 975ft2 - ,"Green Community, Dishwasher, Central Air Conditioning","
        
            QR Code Link to This Post
            
        
Find your new home at Mulberry Lane, which is located in a secluded neighborhood setting with beautifully landscaped grounds. We are within walking distance to the Dow Corporate Center and 10 minutes from the Downtown Midland, the Community Center and the Center for the Arts. Our indoor heated swimming pool, sun deck, resident lounge and outdoor areas will keep your family entertained year 'round.

-Resident Lounge
-Indoor Pool
-Green Community
-New/Renovated Interior
-Covered Parking
-Additional Storage
-Resident Portal for Paying Rent or Submitting Service Request
-Laundry Facility
-New Appliances
-Dishwasher
-Business Center
-Efficient Appliances

Call:  show contact info


For more information, visit us at: https://livewithm2.com/vlqddahr/mulberry-lane-apartments

Pricing and availability are subject to change.
    "
"$1,055",/ 1br - 728ft2 - ,"Onsite Golf Course, Guest Suites Available, Four Swimming Pools!!!!","
        
            QR Code Link to This Post
            
        
Experience luxury apartment living and first-rate convenience! Canterbury Green Apartments is conveniently located on the northeast side of Fort Wayne, Indiana, minutes away from Purdue University and Fort Wayne International Airport. All of our spacious homes are fully equipped with a washer and dryer, a private patio or balcony, and an abundance of closet space. Many of our homes feature cozy fireplaces and custom finishes such as built-in bookcases.

Property Amenities: Onsite Bar & GrillState-of-the-Art GOFit Wellness Club250+ Beautifully Landscaped AcresGame Room with Billiard TablesGOFetch Off-Leash Dog ParkThree Tennis CourtsRacquetball Court & Sports CourtGOTech Business CenterGuest Suites AvailableOnsite Golf CourseFour Swimming PoolsResident Event Lounge

Call Us Today!  show contact info


For more information, visit us at: https://livegoldoller.com/jnmmg4zq/canterbury-green

*Pricing and availability are subject to change daily. Photos may not be of your exact home. Please contact us today for the most up to date information! Professionally managed by GoldOller Real Estate Investments, a provider of Fair Housing and Equal Opportunity.
    "
"$1,650",/ 2br - ,Shelby Township's Newest Luxury Apartments!,"
        
            QR Code Link to This Post
            
        
Welcome to the Town Center Villas, Shelby Township's newest luxury community! Our newly-constructed apartment townhomes were built with one person in mind: You. Each apartment home has top-of-the-line finishes and features, such as luxury vinyl plank flooring, beautiful quartz countertops, stainless steel appliances, a full-size washer and dryer, and an attached garage. We know that life can be hectic and busy, which is why we've worked so hard to build you a home with all of the modern conveniences that are necessary to help relax and recharge. Now open for - in person or virtual tours! Call or text Steve today!  show contact info

    "
$725,/ 2br - 1100ft2 - ,Two Bedroom  October 25  Caro in town,"
        
            QR Code Link to This Post
            
        
Two bedroom apt, ONE LEVEL,,ground floor, but six easy steps up to porch,,,,, In town Caro,  off street parking,  ,,new paint,,,,very cheap to heat ,,,,very modern insulation,,new carpet in living room,,,carpeted throughout,vinyl floors in kitchen, entry and bath,,,great room concept,,,, Electric range, Nat gas heat,  fridge,  Kitchen nook for child,   Very modern, one full bath/shower. Available NOW,,,,. 725 Dollars per month , year lease, call      989 573 37eight zero.  VOICE ONLY, CAN NOT RECEIVE TEXTS or  you can email here.  I do not receive caller id,,so if you do not leave a message, I will be unable to call you back.   The apt is not wheelchair accessible,
    "
$999,/ 1br - ,No Lease! No Credit Check! Save 500 off your first 4 weeks,"
        
            QR Code Link to This Post
            
        
Check Us Out! We are your Apartment Alternative!
New guests only!! 1 rooms left!!!!!!
What makes Us Different?

~No Lease!
~No Credit Check!
~No Application Fee!
~Utilities Included!
~Free WiFi!
~Free Direct TV!
~Free incoming calls!

Flexible Length of Stay!
~ We have Nightly, Weekly and Monthly Rates!

Studio Features:
~Full size refrigerator!
~Two burner stove top!
~Microwave oven!
~Different room styles to choose from!
~Interior doors!
~Under bed storage!

We also Feature:
~On site coin/card operated Laundry Facilities open 24/7!
~Snack/Drink Vending 24/7!
~24 hour staff on site!
~Free bi-weekly house keeping!
~Dog friendly!
~Daily Linen Exchange!
call  show contact info
 for more information!
    "
$610,/ 1br - 655ft2 - ,One Bedroom  655 sq feet Ez parking central air,"
        
            QR Code Link to This Post
            
        
One Bedroom Apartment, Central Air, available Nov 30 or perhaps earlier or later,,,,,610 per month, carpeted, very nice, electric range, nat gas heat, very cheap to heat and cool, very well insulated, in town Caro, off street parking , ground floor, no steps Call 989 573 three seven eight zero. NO ability to receive Text at all, voice only or can email on this site.  Not wheelchair accessible.
    "
"$1,650",/ 3br - 1300ft2 - ,3 BDRM. TOWNHOUSE,"
        
            QR Code Link to This Post
            
        
Quite country living ,freshlypainted , new appliances,carpet in living rm. NO SMOKING BUILDING .Phone calls only  show contact info

    "
$80,/ 1br - ,No Lease! No Credit Check!,"
        
            QR Code Link to This Post
            
        
For tonight only 1 rooms left 
Check Us Out! We are your Apartment Alternative!
New guests only!!
What makes Us Different?~No Lease!
~No Credit Check!
~No Application Fee!


~Utilities Included!
~Free WiFi!
~Free Direct TV!
~Free incoming calls!

Flexible Length of Stay!
~ We have Nightly, Weekly and Monthly Rates!

Studio Features:
~Full size refrigerator!
~Two burner stove top!
~Microwave oven!
~Different room styles to choose from!
~Interior doors!
~Under bed storage!

We also Feature:
~On site coin/card operated Laundry Facilities open 24/7!
~Snack/Drink Vending 24/7!
~24 hour staff on site!
~Free bi-weekly house keeping!
~Dog friendly!
~Daily Linen Exchange!
call  show contact info
 for more information!
    "
