Text,Text1,Text2,Text3
"$3,200",/ 4br - 2257ft2 - ,"4 Bedroom House, 445 Foxbrook Dr - Creve Coeur, MO, 63141","See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/ show contact info

No, it's not a hyperlink. :-( You still have to copy-and-paste this link into the address bar on your web browser.


4 Bedroom House
445 Foxbrook Dr, Creve Coeur, MO, 63141

$3200 per month
Available now
4 beds, 4 full baths
2257 sq. ft.

This 4-bedroom home in Creve Coeur is both elegant and spacious! The home features hardwood floors, stainless steel appliances, a finished basement, and a 2-car garage. The basement has a washer and dryer (Not Repaired or Replaced) as well as an office and 1/2 bath downstairs. The large backyard provides ample space for activities, and the home also includes a central vacuuming system!

Bedrooms: 2
Bathrooms: 2 Full 2 Half
Rooms: 8
SQ. FT.: 2257
Flooring: Carpet, Hardwood
Utilities: Electricity, Gas, Water, Trash, Sewer, Lawncare, Snow Removal
Basement: Partially Finished
Pets: Not Allowed
School District: Ladue
Section 8: Not Accepted
Security Deposit: $3200
Application Fee: $60 per in-person adult application/$50 if applying online

DISCLOSURES:
This property may require a municipal inspection which may affect when it is available for move-in.

There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approved

HELPFUL RESOURCES (copy and paste links into browser):

Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/
Application Process: https://www.decarealty.com/application-process/
Apply: https://fs17.formsite.com/residentresearch/decarealty/index.html
Prospective FAQs: https://www.decarealty.com/tenant-faqs/
Jetty: https://www.jetty.com/move
Case Net MO: https://www.courts.mo.gov/cnet/welcome.do

Carpet Flooring
Gas Forced Heat
Hardwood Floooring
Natural Stone Countertops
No Pets Allowed
Stove Gas
Tile Flooring
Washer/Dryer In Unit

Rooms and Interior
. Partially finished basement
. Hardwood floors
. Carpet floors
. Fireplace
. Family room
. Living room
. Dining room
. Office
. Walk-in closet
. Ceiling fans
. Voice intercom
. Master bath

Kitchen and Bath
. Stove/oven
. Tile floors
. Hardwood cabinets
. Stainless steel appliances
. Dishwasher
. Refrigerator
. Microwave
. Garbage disposal
. Whirlpool tub
. Modern bath fixtures

Utilities and Extras
. Gas furnace
. Central air conditioning
. Attached garage
. Laundry in unit

Building and Surroundings
. Patio
. Yard

Lease Terms
. No pets
. Tenant pays all utilities
. One year lease
. No smoking
. No section 8
. Tenant pays trash removal
. Tenant pays water
. Snow removal not included
. Lawn care not included

Contact Us:
Deca Property Management
Michelle Stalzer
show contact info


See better photos and SCHEDULE A SHOWING at:

http://showinghotline.com/lc/ show contact info




"
"$3,100",/ 4br - 2964ft2 - ,"4 Bedroom House, 508 Mason Creek Dr - Lake Saint Louis, MO 63367","
        
            QR Code Link to This Post
            
        
See better photos and SCHEDULE A SHOWING at:http://schedule-a-tour.com/lc/82c676e03dNo, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.4 Bedroom House508 Mason Creek Dr, Lake Saint Louis, MO, 63367$3100 per monthAvailable now4 beds, 2 full and 1 half baths2964 sq. ft.RENTER'S INSURANCE REQUIREDLOWER YOUR MOVE IN COST WITH OUR NO DEPOSIT OPTION THROUGH JETTY - See Helpful Resources Below For More Information!Amazing four bedroom, two and a half bath home located in Wentzville school district! There is a gorgeous blend of hardwood, carpet and vinyl flooring throughout. The house features a living room, eat in kitchen, family room, dining room, laundry room and half bath on the main level. The kitchen comes fully stocked with a refrigerator, microwave, electric oven and dishwasher. The upstairs offers a master bedroom with a master bath, three full bedrooms and a full bath. The backyard has a private patio and is spacious. Schedule your showing today!Bedrooms: 4Bathrooms: 2.5Rooms: 8SQ. FT.: 2964 Flooring: Carpet, Hardwood & VinylUtilities: Gas, Electric, Water, Sewer, Trash, Lawn Care & Snow RemovalBasement: Unfinished Pets: Allowed - See Pet Policy (link below under Helpful Resources)School District: WentzvilleSection 8: Not AcceptedSecurity Deposit: $3100Application Fee: $60 per in-person adult application/$50 if applying onlineDISCLOSURES:This property may require a municipal inspection which may affect when it is available for move-in.There may already be applications submitted for this property at the time you submit your application. We cannot guarantee any unit, although it may be available at the time your application is submitted. Units are rented to the best-qualified applicant (not based on the order received) with the full security deposit paid. A security deposit will not be accepted until the rental application is approvedHELPFUL RESOURCES (copy and paste links into browser):Rental Criteria & Prospect Guide: https://www.decarealty.com/rental-criteria/Application Process: https://www.decarealty.com/application-process/Apply: https://fs17.formsite.com/residentresearch/decarealty/index.htmlPet Policy: https://www.decarealty.com/pet-policy/Prospective FAQs: https://www.decarealty.com/tenant-faqs/Jetty: https://www.jetty.com/moveCase Net MO: https://www.courts.mo.gov/cnet/welcome.doFair Market Rent Documentation System: https://www.huduser.gov/portal/datasets/fmr/fmrs/FY2023_code/2023summary.odn?cbsasub=METRO41180M41180&year=2023&fmrtype=FinalCarpet FlooringGas Forced HeatHardwood FloooringLaminate CountertopsPets AllowedRenter's Insurance RequiredSeparate Tub & ShowerStove   ElectricVinyl FlooringWasher/Dryer In Unit   Not Repaired Or ReplacedContact Us:Deca Property ManagementMichelle Stalzer show contact info
See better photos and SCHEDULE A SHOWING at:http://schedule-a-tour.com/lc/82c676e03d
    "
"$75,072",/ 3br - ,Spacious 3 bedroom home for sale,"
        
            QR Code Link to This Post
            
        
Welcome to Five Seasons, your new home!! Move in today and pay nothing but a deposit until January!!

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
"$75,072",/ 3br - ,DONT MISS OUT ON FREE RENT!!!,"
        
            QR Code Link to This Post
            
        
Welcome to Five Seasons, your new home!! Move in today and pay nothing but a deposit until January!!

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
"$75,072",/ 3br - ,Why rent when you can be a homeowner? Free to apply!,"
        
            QR Code Link to This Post
            
        
Welcome to Five Seasons, your new home!! Move in today and pay nothing but a deposit until January!!

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
"$4,800",/ 3br - ,WOW! Look at this view!,"
        
            QR Code Link to This Post
            
        
Call Craig Persin with Apartment Guys at 773-343-7745 and ask for reference #2202793.This lovely three bedroom features Modern Kitchen Cabinet, Quartz Countertops with Deep Undermount Sink, and smart fridge. Open Concept Living Room with Lake Views, Smart Home System, and In Unit Laundry, and the building has a fitness center and on site parking may be available. Prices are subject to change. ***Photos may be of a similar unit.****For faster response best to call or text Craig Persin at 773-343-7745 with reference #.2202793

Amazing SMART SYSTEM 3 Bed/2.5 Bath in Eastlake Terrace!
    "
"$3,346",/ 1br - ,Luxury one bedroom! All the updates! All the amenities!,"
        
            QR Code Link to This Post
            
        
Call Craig Persin with Apartment Guys at 773-343-7745 and ask for Reference # 2192675. Granite and Stainless Steel! Newer Construction One Bedroom in River North! This one bedroom unit features a balcony, new kitchen with granite counters and stainless steel appliances including a dishwasher and built-in microwave, full size in-unit washer and dryer, large walk-in closets, and the over sized bathroom has a soaking tub and designer Kohler fixtures. The full-amenity building features terraced garden area, sundeck, fountains, landscaped river walk, an outdoor pool with Wi-Fi and whirlpool spa, social and party room with plasma TV/DVD and surround sound,  fitness room, cyber cafe, rooftop terrace with BBQ grills, dry cleaners, lockers, bicycle storage room, and a 24-hour doorman. On-site garage parking available. ***Photos may be of a similar unit.****For faster response best to call or text Craig Persin at 773-343-7745 with reference #2192675.
    "
"$42,000",/ 3br - ,say Yes! to free rent and your beautiful new home,"
        
            QR Code Link to This Post
            
        
Welcome to Five Seasons, your new home!! Move in today and pay nothing but a deposit until January!!

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
"$3,500",/ 3br - ,High End 3BR/3BA Townhouse in Southport Corridor!,"
        
            QR Code Link to This Post
            
        
PROPERTY INFO
ID: 10935429Rent: $3,500 / MonthBeds: 3Bath: 3Available Date: 12/01/2022Pet: Pet FriendlyRent Includes:: Garbage, WaterParking:: off-street parking
Beautiful 3 Bedroom / 3 Bathroom Townhouse with:
3 Levels of Living Space
Hardwood Floors/Carpeting in Bedrooms
HUGE Gourmet Kitchen with Stainless Steel Appliances and Granite Counter Tops
Washer Dryer, In-Unit
Master Bedroom with Walk In Closet, Jacuzzi Tub
2 Living Room Areas
HUGE Private Roof Deck
One Outdoor Parking Spot Included in Rent
Located Close to Everything in Southport Corridor!  Southport Brown Line, Addison Red Line, Shopping, Restaurants, and Nightlife!
Looking for something else? Check out all my other available apartments here and let me know which of them you'd like to tour!
https://ygl.is/Hadi

 
Hadi Sharabi
Realtor® MLS ID: 887241
▪︎ The Apartment Source
   (773) 272-1860    
Hadis@ ApartmentSourceChicago.com
  2533 W. Fullerton Ave. Chicago, IL 60647
  http://www.ApartmentSourceChicago.com/



The Apartment Source
Call or text: 773.272.1860
    "
"$52,288",/ 3br - ,Wonderful 3 Bedroom Home For Sale,"
        
            QR Code Link to This Post
            
        
Welcome to Five Seasons, your new home!! Move in today and pay nothing but a deposit until January!!

Home Features:
3 Bedrooms/2 Bathrooms
Screen Porch
Washer/Dryer Hook-ups
Central A/C
Private Parking
Great Community

Community Amenities:
Picnic Area
Pet Friendly
Basketball Court
Community Clubhouse

What’s Included With Rent: Pest control, weekly trash service, maintenance, Gold Key preventative maintenance service, and Emergency maintenance

*Pet Policy: 2 pet maximum, $50 monthly pet rent for the first pet, and $60 for the second. No weight restrictions on pets, but there are vicious breed restrictions on dogs.

Hours: Mon-Fri 9am-6pm, Sat 10am-6pm
CALL  show contact info
 Ask for Daniel
5112 N. Fairmount St. Davenport IA, 52806
www.yescommunities.com
    "
