Text,Text1,Text2,Text3
"$3,494",/ 6br - 3245ft2 - ,6 bedroom Town home $3494,"
        
            QR Code Link to This Post
            
        
Leasing for Fall 2023!!
Visit us online at: TheBroncoClub.com
The Bronco Club is the BEST value out there!
At The Bronco Club you can enjoy spacious floor plans that offer many spectacular features and amenities to enjoy including our in-unit washer/dryer and fitness center.
We offer tours on walk-ins or by appointment to fit your daily schedule. We are open Monday through Friday from 9AM to 6PM, Saturday 10AM to 4PM (by appointment only). Stop in today and tour your GORGEOUS new home!


LOOK AT ALL WE HAVE TO OFFER!
• Pool
• Pool-side Sundeck
• Spa
• Sand Volleyball Court
• Wi-Fi at the Pool
• Fitness Center
• Carports Available
• Dog Park
• Business Center
• Public Transportation
• 24-Hour Emergency Maintenance
• Planned Social Activities

We’re located at 3201 Michigamme Woods Dr. Kalamazoo, MI 49006.
Visit us online!
www.TheBroncoClub.com
Equal Housing Opportunity. Specials are based on availability and may expire or change at any time. Specials and discounts may not be combined. Rates are subject to change without notice.

WMU, Western Michigan University, student housing, off-campus housing, off campus housing, off campus apartments, housing for Western Michigan University, University Housing in Kalamazoo, three bedroom apartments, three bedroom townhomes, four bedroom apartments, two bedroom apartments, 2 bedroom apartments, rent by the room, one room only, roommate share, find me a roommate in Kalamazoo, Kalamazoo roommate matching, roommate matching, 4 bedroom apartments, Bronco Club, The Bronco Club, townhome, large breed dogs, cats, Bronco housing, pets welcome, close to campus housing, W. Michigan Ave, Bronco Dorms, Western Michigan University Dorms, dorms, pool, hot tub, fitness center, gym, free gym, yoga, yoga studio, dog park, air conditioning, student center, bronco student center, free parking, freshman housing, sublease, student sublease, huge apartments, apartments close to campus, huge townhome, new townhome, new gym, housing for students, fall housing, dishwasher, cheap rent, free rent, student discount, frat, fraternity, fratville, sorority, sorority housing, WMU Soccer, WMU Football, WMU Hockey, K-Wings, fun housing, party, partying, grill, grilling, volley ball, WMU Basketball, WMU Basketball Schedule, WMU Baseball, apartment ratings, high apartment ratings
    "
"$2,500",/ 3br - 2156ft2 - ,Cadillac $2500 (Special) Per Month 2156sqft 21st floor,"
        
            QR Code Link to This Post
            
        
Nestled next to lushly landscaped Lafayette Park and located within walking distance of Greek Town and the Downtown Business District, Lafayette Towers Apartments is the essence of premier downtown-living. Our historic 22-story towers offer spacious apartment homes with captivating views of the Detroit skyline as well as the Detroit riverfront.

This metropolitan hideaway, located just a stone's throw away from where the Detroit River meets the Canadian border, offers several amenities and is steps away from Downtown Detroit's most popular attractions.

Below are just some of the highlights we offer:

Lafayette Towers provides 24 HOUR SECURITY and access to our 8ft OLYMPIC-SIZE HEATED POOL atop our beautiful rooftop deck.

The apartments have wall to wall windows that create breathtaking views of Detroit (every view at Lafayette Towers is a great view!)

Complimentary Wireless Internet
24-hour Fitness Center
24-hour Laundry Facility
On-Site Dry Cleaning
Bicycle and Resident Storage

Secured Building Entry

Close to Major Freeways
Parking Garage

Rental rates include ALL utilities except electricity!
    "
"$2,500",/ 3br - 2156ft2 - ,Cadillac $2500 Special Per Month 2156sqft 21st floor,"
        
            QR Code Link to This Post
            
        
Nestled next to lushly landscaped Lafayette Park and located within walking distance of Greek Town and the Downtown Business District, Lafayette Towers Apartments is the essence of premier downtown-living. Our historic 22-story towers offer spacious apartment homes with captivating views of the Detroit skyline as well as the Detroit riverfront.

This metropolitan hideaway, located just a stone's throw away from where the Detroit River meets the Canadian border, offers several amenities and is steps away from Downtown Detroit's most popular attractions.

Below are just some of the highlights we offer:

Lafayette Towers provides 24 HOUR SECURITY and access to our 8ft OLYMPIC-SIZE HEATED POOL atop our beautiful rooftop deck.

The apartments have wall to wall windows that create breathtaking views of Detroit (every view at Lafayette Towers is a great view!)

Complimentary Wireless Internet
24-hour Fitness Center
24-hour Laundry Facility
On-Site Dry Cleaning
Bicycle and Resident Storage

Secured Building Entry

Close to Major Freeways
Parking Garage

Rental rates include ALL utilities except electricity!
    "
"$4,250",/ 5br - 3250ft2 - ,Custom Home,"
        
            QR Code Link to This Post
            
        
Custom built Home
To many upgrades to list
Excellent condition
Location location location
Miles from I480, Turnpike, I90
Hopkins Airport
High End Malls and a growing area
Rent price is for 2 years
One year will be additional
Credit check , income ✅ check
Fico score needs to be760+
$16500. deposit
    "
"$3,000",/ 3br - ,Beautiful Updated Ranch,"
        
            QR Code Link to This Post
            
        
Beautiful updated brick ranch in the perfect location. This home will not last long. Property features and fenced in backyard, master suite, and a finished basement.
    "
"$2,700",/ 5br - 7295ft2 - ,Elegance adorns this stunning luxury home!,"
        
            QR Code Link to This Post
            
        
Elegance adorns this stunning luxury home! Situated on 4.53 aces, Fairview lake front community, provides access to private beach. Expansive deck overlooks the gardens. New 500 sq ft. gourmet kitchen includes marble counters, double islands, high-end appliances, custom cabinetry, perfect for entertaining! Large master bedroom suite. Walkout finished basement. Secluded guest house at rear of property. Sit back, relax take a boat out on your pond and take in the spectacular views of the wooded lot 


See more at show contact info

    "
"$2,675",/ 2br - 1739ft2 - ,THE JEFFREY PENTHOUSE SUITE 402 COMING SOON. SECURE IT TODAY!,"
        
            QR Code Link to This Post
            
        
RARE ONE OF A KIND PENTHOUSE AT THE JEFFREY AVAIALBLE EARLY WINTER! COME SECURE IT TODAY. YOU'RE GOING TO LOVE BEING HERE WITH US!

The Jeffrey is located in Italian Village and is within walking distance to everything The Short North has to offer! Call Dorian today to learn more details!

THE JEFFREY #402
2 bed
2 bath
$2,675/mo.
1739sqft.

THE JEFFREY AMENITIES:

KITCHEN:
Stainless Steel Appliances
Granite Counter Tops
All Wood Designer Cabinetry

BATHROOM:
Spa Rain Shower Heads
Brushed Nickel Fixtures
Ceramic Tile

LIVING
Fiber High Speed Internet
Urban floor plan with 9-foot ceilings
Hardwood Floors
Custom Window Treatments
Energy Efficient Windows
Central Air Conditioning
High Efficiency Furnaces
Designer interior paint finish
Washer and Dryer INCLUDED

COMMNUITY
Recycling Program
Lobby with Pool Table, Wireless Internet/Wi-Fi and Complimentary Coffee
Fully Equipped Fitness Center / Gym
Emergency Maintenance
*We are Pet Friendly and welcome ALL SIZES AND BREEDS of dogs
$350 Pet Fee Waived for Rescue Pets

Pricing and availability are subject to change daily. Photos may not be of your exact home. Please contact us today for the most up to date information!
    "
"$3,200",/ 3br - 1800ft2 - ,"Near Med Campus 3 Bedroom, 2 Bath plus Deck in Historic1832 Building","
        
            QR Code Link to This Post
            
        
Live in a piece of Ann Arbor's History! The Anson Brown Building was built in 1832 and is Ann Arbor's oldest commercial building.

The apartment occupies the entire 3rd floor (approximately 1800 square feet) plus a large private deck and the entre attic for storage. There is a barn door that allows you to create a separate space for a home office or for entertaining. Open floor plan for dining room, living room and kitchen. Three bedrooms with walk in closets and 2 full baths.

Centrally located: near the U of M Hospital, Medical Campus, Kerrytown, Farmers Market, Zingerman's Deli, down the block from Northside Grill and across the street Argo Park. If you like biking, hiking, canoeing, tubing or running, this is the place to be!

It has all modern amenities:

- Kitchen with granite counter tops and stainless appliances
- Stainless Bosch Dishwasher
- French Style 3 Door Refrigerator with ice maker and water dispenser
- Thermal windows with marble window sills
- Large private deck
- Open floor plan for kitchen, dining room and living room
- Stacked HE washer and dryer
- Lots of Closets! Walk ins in each bedroom, coat, linen, pantry, and utility closets
- Sliding Barn Door allows for a separate home office
- Private Entrance
- Up to 3 off street parking spaces

Contact Jim at  show contact info

    "
"$2,500",/ 4br - 2000ft2 - ,4 Bedroom 2.5 bath finished basement,"
        
            QR Code Link to This Post
            
        
You will love this home! Nestled in a quiet cul-de-sac in the desirable city of Plymouth, this home offers plenty of space for a family. The four bedrooms and two and a half bathrooms are perfect for your needs. The finished basement provides plenty of extra living space plus a 5th room that could be used as a den or office.

You will also appreciate the huge backyard, – perfect for outdoor activities or simply relaxing after a long day.

And don’t forget about the excellent public school system—Plymouth has a well-earned reputation for being one of the best districts in Michigan.

Plus, you will be near all of the restaurants and parks that Plymouth has to offer. This is definitely a home you don’t want to miss! More images, https://drive.google.com/drive/folders/1-afv9KPLgpleaq6CUCzER4XceeiDbYnz?usp=sharing

For a private showing - please reach out  show contact info

    "
"$2,500",/ 4br - 2000ft2 - ,4 Bedroom 2.5 bath finished basement,"
        
            QR Code Link to This Post
            
        
Picture perfect home on a cul-de-sac in the heart of Plymouth.

This move-in ready 4 bedroom, 2.5 bath colonial offers a perfect blend of style and function.

The main level boasts an inviting open floor plan with hardwood floors, neutral paint palette. Four additional bedrooms share a well-appointed hall bath.

The finished basement provides plenty of extra living space plus a 5th room that could be used as a den or office.

Enjoy summer BBQs on the deck or relax in the large backyard surrounded by mature trees - this home has it all! Plus, top-rated Plymouth Canton schools are just minutes away.

For more images, https://drive.google.com/drive/folders/1-afv9KPLgpleaq6CUCzER4XceeiDbYnz?usp=sharing

Private showing  show contact info

    "
